Date	var	placette	N	Hcol_F5	Hcol_F6	Hcol_F7	Hcol_F8	Hcol_F9	Hcol_F10	Hcol_F11	Hcol_F12	H_node	Diametre_tige_mm
03/05/2013	Tremie	2	20			8	15,3	24,5	27,6	27,6			5
03/05/2013	Tremie	2	21		6,4	12,4	19,4	26,8	26,8				4
03/05/2013	Tremie	2	22		5,8	11,7	19,4	24	24				4
03/05/2013	Tremie	2	23		4,2	9,7	16,4	17,8	17,8				4
03/05/2013	Tremie	2	24		4,5	9,1	14,4	22,1	22,1				4
03/05/2013	Tremie	2	25		4,7	7,6	14,1	23,3	25,7	25,7			5
03/05/2013	Tremie	2	26		4,7	8,4	13,3	21,8	24,4	24,4			4
03/05/2013	Tremie	2	27		2,7	7,1	14,6	22,2	22,2				3
03/05/2013	Tremie	2	28		5,1	7,7	14,4	23	23,5	23,5			4
03/05/2013	Tremie	2	29		5,6	10,7	17,8	23,7	23,7				4
03/05/2013	Tremie	2	30		4,6	7,8	13,4	22,5	23,7	24,7			4
03/05/2013	Tremie	3	31		4,6	9,9	17,5	25,9	25,9				5
03/05/2013	Tremie	3	32		4,7	9,6	15,3	20,8	20,8				4
03/05/2013	Tremie	3	33		5	9	14,8	24,3	26,1	26,1			5
03/05/2013	Tremie	3	34		7	13,6	21,4	26,4	25,4				4
03/05/2013	Tremie	3	35		6,4	13,2	22,4	25,2	25,2				4
03/05/2013	Tremie	3	36		6,5	12,2	20	25	25				4
03/05/2013	Tremie	3	37		6,4	12,9	21,5	26,2	26,2				4
03/05/2013	Tremie	3	38		7,1	14,2	21,2	25,2	25,2				4
03/05/2013	Tremie	3	39		5	10,1	18,3	22,3	22,3				4
03/05/2013	Tremie	3	40		7,8	14,2	23,4	23,9	23,9				4
03/05/2013	Tremie	3	41		7	14,4	22,5	29,3	29,3				4
03/05/2013	Tremie	3	42		7,5	14,4	22,5	28,2	28,2				4
03/05/2013	Tremie	3	43		4,6	9,9	16,4	20,1	20,1				4
03/05/2013	Tremie	3	44		5,1	10,1	15,5	22,5	22,5				4
03/05/2013	Tremie	3	45		Na	7,9	16,5	24,1	24,1				4
